geo,gdp_value,population,country_code,country,nuts_level,gdp_per_capita
AL011,594.12,106380.0,AL,Albania,5,5584.884376762549
AL012,2242.87,289797.0,AL,Albania,5,7739.45209922808
AL013,311.95,71498.0,AL,Albania,5,4363.059106548435
AL014,644.05,114181.0,AL,Albania,5,5640.605704977185
AL015,1094.9,189164.0,AL,Albania,5,5788.099215495549
AL021,1390.26,252719.0,AL,Albania,5,5501.208852519992
AL022,9530.51,925268.0,AL,Albania,5,10300.26975968044
AL031,779.84,111431.0,AL,Albania,5,6998.4115730811
AL032,2296.89,271672.0,AL,Albania,5,8454.643835213052
AL033,471.28,53314.0,AL,Albania,5,8839.704392842405
AL034,1054.99,192925.0,AL,Albania,5,5468.394453803291
AL035,1318.81,183436.0,AL,Albania,5,7189.482980440044
AT111,1220.08,37743.0,AT,Austria,5,32325.994224094535
AT112,6823.32,165099.0,AT,Austria,5,41328.65735104392
AT113,3257.62,98408.0,AT,Austria,5,33103.2029916267
AT121,10169.92,250280.0,AT,Austria,5,40634.16972990251
AT122,10049.81,266608.0,AT,Austria,5,37695.08041769189
AT123,8438.23,160474.0,AT,Austria,5,52583.159888829345
AT124,8583.93,216454.0,AT,Austria,5,39657.06339453186
AT125,4088.43,127564.0,AT,Austria,5,32050.029788968674
AT126,12730.2,342995.0,AT,Austria,5,37114.82674674558
AT127,20385.45,353998.0,AT,Austria,5,57586.34229571919
AT130,119962.6,1982097.0,AT,Austria,5,60523.0722815281
AT211,16746.34,296535.0,AT,Austria,5,56473.40111622574
AT212,5003.77,124016.0,AT,Austria,5,40347.77770610244
AT213,6528.59,148433.0,AT,Austria,5,43983.41339190072
AT221,27719.27,460887.0,AT,Austria,5,60143.310616268194
AT222,3689.15,79831.0,AT,Austria,5,46211.99784544851
AT223,7564.05,158478.0,AT,Austria,5,47729.33782607049
AT224,10433.51,267680.0,AT,Austria,5,38977.5478182905
AT225,7669.71,199351.0,AT,Austria,5,38473.39617057351
AT226,4093.99,98971.0,AT,Austria,5,41365.55152519425
AT311,13886.88,296756.0,AT,Austria,5,46795.616600843794
AT312,40651.89,609580.0,AT,Austria,5,66688.35919813642
AT313,7703.07,213934.0,AT,Austria,5,36006.759093926164
AT314,8058.97,158099.0,AT,Austria,5,50974.1997103081
AT315,10990.72,244456.0,AT,Austria,5,44959.910986026116
AT321,922.01,20437.0,AT,Austria,5,45114.742868327055
AT322,9770.64,172190.0,AT,Austria,5,56743.364887624135
AT323,25463.73,375719.0,AT,Austria,5,67773.33592392187
AT331,1931.88,33607.0,AT,Austria,5,57484.452643794444
AT332,17693.93,316099.0,AT,Austria,5,55975.9126096571
AT333,2115.4,48854.0,AT,Austria,5,43300.4462275351
AT334,6002.52,107373.0,AT,Austria,5,55903.43941214272
AT335,14970.16,265371.0,AT,Austria,5,56412.19274148268
AT341,6133.76,94304.0,AT,Austria,5,65042.41601628775
AT342,16220.27,312091.0,AT,Austria,5,51972.88611334514
BE100,103568.87,1253178.0,BE,Belgium,5,82644.97940436236
BE211,66805.11,1081771.0,BE,Belgium,5,61755.31605117904
BE212,21189.26,357030.0,BE,Belgium,5,59348.68218357001
BE213,28246.38,477120.0,BE,Belgium,5,59201.83601609658
BE223,6278.75,209283.0,BE,Belgium,5,30001.242336931333
BE224,21560.76,430313.0,BE,Belgium,5,50104.830669768286
BE225,9424.59,259023.0,BE,Belgium,5,36385.147264914696
BE231,10376.89,302438.0,BE,Belgium,5,34310.800891422376
BE232,7517.13,206414.0,BE,Belgium,5,36417.73329328437
BE233,3120.98,88926.0,BE,Belgium,5,35096.372264579535
BE234,36901.89,575067.0,BE,Belgium,5,64169.722832296065
BE235,4889.54,127476.0,BE,Belgium,5,38356.553390442125
BE236,12785.69,263025.0,BE,Belgium,5,48610.17013591864
BE241,40760.35,664977.0,BE,Belgium,5,61295.87940635541
BE242,25694.37,523102.0,BE,Belgium,5,49119.234871975255
BE251,15199.91,286273.0,BE,Belgium,5,53095.856053487405
BE252,1929.56,52481.0,BE,Belgium,5,36766.829900344885
BE253,5297.84,108132.0,BE,Belgium,5,48994.19228350535
BE254,16727.47,299959.0,BE,Belgium,5,55765.85466680447
BE255,6974.69,159568.0,BE,Belgium,5,43709.82903840369
BE256,8472.74,158224.0,BE,Belgium,5,53549.01911214481
BE257,5413.98,95314.0,BE,Belgium,5,56801.5191892062
BE258,2866.61,62053.0,BE,Belgium,5,46196.154899843685
BE310,28280.52,413959.0,BE,Belgium,5,68317.20049570127
BE323,8303.23,260958.0,BE,Belgium,5,31818.261942534813
BE328,9021.6,226990.0,BE,Belgium,5,39744.4821357769
BE329,3352.15,142599.0,BE,Belgium,5,23507.52810328263
BE32A,3837.46,130236.0,BE,Belgium,5,29465.431985011826
BE32B,12705.47,399827.0,BE,Belgium,5,31777.418733602284
BE32C,3277.56,107691.0,BE,Belgium,5,30434.85528038555
BE32D,2182.72,92725.0,BE,Belgium,5,23539.714208681584
BE331,4490.74,115896.0,BE,Belgium,5,38748.01546213847
BE332,25450.93,630743.0,BE,Belgium,5,40350.7133650314
BE334,2147.25,83938.0,BE,Belgium,5,25581.381495865997
BE335,7198.89,211971.0,BE,Belgium,5,33961.674002575826
BE336,2844.28,79812.0,BE,Belgium,5,35637.2475316995
BE341,2027.46,65917.0,BE,Belgium,5,30757.771136429146
BE342,1502.14,51653.0,BE,Belgium,5,29081.369910750585
BE343,2237.97,58725.0,BE,Belgium,5,38109.32311621967
BE344,2386.04,66150.0,BE,Belgium,5,36070.14361300076
BE345,1295.29,55209.0,BE,Belgium,5,23461.573294209276
BE351,3212.69,114458.0,BE,Belgium,5,28068.723898722674
BE352,12789.89,324117.0,BE,Belgium,5,39460.719431563295
BE353,1641.38,68075.0,BE,Belgium,5,24111.347778185824
BG311,556.99,72754.0,BG,Bulgaria,5,7655.798993869753
BG312,892.4,116172.0,BG,Bulgaria,5,7681.713321626554
BG313,2055.67,148874.0,BG,Bulgaria,5,13808.119617931943
BG314,1983.83,220346.0,BG,Bulgaria,5,9003.249434979532
BG315,1039.71,113356.0,BG,Bulgaria,5,9172.077349236035
BG321,2097.15,204033.0,BG,Bulgaria,5,10278.484362823661
BG322,1185.6,95957.0,BG,Bulgaria,5,12355.534249716018
BG323,2092.35,189623.0,BG,Bulgaria,5,11034.262721294357
BG324,881.47,101107.0,BG,Bulgaria,5,8718.189640677698
BG325,638.34,95614.0,BG,Bulgaria,5,6676.218963750079
BG331,5960.51,430847.0,BG,Bulgaria,5,13834.400610889712
BG332,1283.03,147208.0,BG,Bulgaria,5,8715.762730286397
BG333,1311.11,149628.0,BG,Bulgaria,5,8762.46424466009
BG334,922.21,96201.0,BG,Bulgaria,5,9586.282886872277
BG341,4325.7,378596.0,BG,Bulgaria,5,11425.63577005568
BG342,1175.29,170583.0,BG,Bulgaria,5,6889.842481372704
BG343,976.26,107379.0,BG,Bulgaria,5,9091.721845053502
BG344,5429.62,291852.0,BG,Bulgaria,5,18604.018475117526
BG411,40384.34,1280334.0,BG,Bulgaria,5,31542.035125209517
BG412,2815.59,227610.0,BG,Bulgaria,5,12370.238565968104
BG413,2419.66,288161.0,BG,Bulgaria,5,8396.90312013076
BG414,889.16,111746.0,BG,Bulgaria,5,7956.973851413026
BG415,831.62,108703.0,BG,Bulgaria,5,7650.3868338500315
BG421,7184.79,631516.0,BG,Bulgaria,5,11377.051412790808
BG422,1379.33,207439.0,BG,Bulgaria,5,6649.328236252585
BG423,1853.78,226209.0,BG,Bulgaria,5,8194.987820997396
BG424,806.97,93354.0,BG,Bulgaria,5,8644.19307153416
BG425,1152.62,142508.0,BG,Bulgaria,5,8088.107334325091
CY000,32439.16,949084.0,CY,Cyprus,5,34179.440386730785
CZ010,87220.1,1357326.0,CZ,Czechia,5,64258.77055327902
CZ020,38350.64,1439391.0,CZ,Czechia,5,26643.656935467847
CZ031,15893.29,652303.0,CZ,Czechia,5,24364.88870969473
CZ032,15251.14,605388.0,CZ,Czechia,5,25192.339458330855
CZ041,5287.95,293595.0,CZ,Czechia,5,18011.035610279465
CZ042,16834.35,812337.0,CZ,Czechia,5,20723.3574243202
CZ051,9694.85,449177.0,CZ,Czechia,5,21583.58509006472
CZ052,14214.43,555267.0,CZ,Czechia,5,25599.27026097355
CZ053,12733.8,528761.0,CZ,Czechia,5,24082.33587575483
CZ063,12903.95,514777.0,CZ,Czechia,5,25067.067875992907
CZ064,34959.37,1217200.0,CZ,Czechia,5,28721.138678935262
CZ071,14591.25,631802.0,CZ,Czechia,5,23094.656237238883
CZ072,14209.9,580531.0,CZ,Czechia,5,24477.418087922953
CZ080,26954.08,1189674.0,CZ,Czechia,5,22656.69418681084
DE111,72331.04,612041.0,DE,Germany,5,118180.05656483797
DE112,34135.15,391368.0,DE,Germany,5,87220.08442182293
DE113,28345.16,533434.0,DE,Germany,5,53137.14536381258
DE114,9720.77,257269.0,DE,Germany,5,37784.45906813491
DE115,31768.29,532109.0,DE,Germany,5,59702.59852774526
DE116,17781.93,438079.0,DE,Germany,5,40590.69254632155
DE117,8787.23,129931.0,DE,Germany,5,67629.97283173377
DE118,27286.38,351402.0,DE,Germany,5,77650.04183243123
DE119,7523.72,114553.0,DE,Germany,5,65678.94337119063
DE11A,11354.33,198650.0,DE,Germany,5,57157.46287440221
DE11B,6602.66,132793.0,DE,Germany,5,49721.44616056569
DE11C,5946.11,134766.0,DE,Germany,5,44121.736936616064
DE11D,17879.26,316343.0,DE,Germany,5,56518.58899991465
DE121,3973.27,56094.0,DE,Germany,5,70832.35283631049
DE122,25609.35,306630.0,DE,Germany,5,83518.73593581842
DE123,19511.4,453378.0,DE,Germany,5,43035.6126675754
DE124,11729.85,230698.0,DE,Germany,5,50845.04417030056
DE125,10967.98,154570.0,DE,Germany,5,70958.0125509478
DE126,25323.39,314961.0,DE,Germany,5,80401.66877803918
DE127,5391.59,145039.0,DE,Germany,5,37173.380952709274
DE128,25714.56,556316.0,DE,Germany,5,46222.93804240755
DE129,6508.4,133896.0,DE,Germany,5,48607.87476847703
DE12A,5735.79,160139.0,DE,Germany,5,35817.5709852066
DE12B,7555.58,198950.0,DE,Germany,5,37977.28072379995
DE12C,5647.66,121450.0,DE,Germany,5,46501.934952655414
DE131,14845.12,235003.0,DE,Germany,5,63169.91697978324
DE132,9578.67,269631.0,DE,Germany,5,35525.10653448602
DE133,6809.47,168004.0,DE,Germany,5,40531.59448584558
DE134,21143.21,440768.0,DE,Germany,5,47969.02225206912
DE135,7329.94,139968.0,DE,Germany,5,52368.68427069044
DE136,10000.06,212293.0,DE,Germany,5,47104.99168601885
DE137,8527.66,143677.0,DE,Germany,5,59352.99317218483
DE138,12419.36,289613.0,DE,Germany,5,42882.60540790641
DE139,9147.97,235252.0,DE,Germany,5,38885.83306411848
DE13A,6345.05,170765.0,DE,Germany,5,37156.618745059
DE141,14643.57,291335.0,DE,Germany,5,50263.68270204404
DE142,9995.46,230987.0,DE,Germany,5,43272.824877590516
DE143,8190.13,192726.0,DE,Germany,5,42496.23818270498
DE144,12947.06,127932.0,DE,Germany,5,101202.67016852702
DE145,7868.8,200294.0,DE,Germany,5,39286.24921365592
DE146,13001.03,205073.0,DE,Germany,5,63397.08298995967
DE147,13478.91,219641.0,DE,Germany,5,61367.91400512655
DE148,15172.25,287393.0,DE,Germany,5,52792.69154085172
DE149,6006.21,132507.0,DE,Germany,5,45327.49213249111
DE211,22803.15,138263.0,DE,Germany,5,164925.90208515656
DE212,150229.49,1490516.0,DE,Germany,5,100790.25652861157
DE213,3946.23,63641.0,DE,Germany,5,62007.66801275907
DE214,6910.52,112296.0,DE,Germany,5,61538.43413834865
DE215,4558.11,104372.0,DE,Germany,5,43671.77020656881
DE216,4711.82,129062.0,DE,Germany,5,36508.18986223675
DE217,5724.63,151041.0,DE,Germany,5,37901.165908594354
DE218,6227.03,142205.0,DE,Germany,5,43789.107274709044
DE219,5981.03,134201.0,DE,Germany,5,44567.70068777431
DE21A,5486.83,138647.0,DE,Germany,5,39574.09824951135
DE21B,11140.19,181568.0,DE,Germany,5,61355.47012689461
DE21C,7536.09,215511.0,DE,Germany,5,34968.47028689951
DE21D,3570.93,89224.0,DE,Germany,5,40022.07926118533
DE21E,5438.12,119654.0,DE,Germany,5,45448.71044845972
DE21F,4863.23,96557.0,DE,Germany,5,50366.41569228539
DE21G,5123.69,120317.0,DE,Germany,5,42584.921499040036
DE21H,52413.25,350047.0,DE,Germany,5,149732.03598373933
DE21I,4303.57,97792.0,DE,Germany,5,44007.38301701571
DE21J,7013.54,128537.0,DE,Germany,5,54564.36668041109
DE21K,10833.1,255306.0,DE,Germany,5,42431.826905752314
DE21L,7516.28,138488.0,DE,Germany,5,54273.872104442264
DE21M,9374.05,170984.0,DE,Germany,5,54824.1355916343
DE21N,6780.35,136811.0,DE,Germany,5,49559.97690244205
DE221,5007.2,68743.0,DE,Germany,5,72839.4163769402
DE222,4230.22,52361.0,DE,Germany,5,80789.51891675103
DE223,3230.11,46953.0,DE,Germany,5,68794.53922007114
DE224,6377.24,120091.0,DE,Germany,5,53103.39659091855
DE225,3169.9,78155.0,DE,Germany,5,40559.14528820933
DE226,5200.32,124673.0,DE,Germany,5,41711.67774899136
DE227,7643.93,160256.0,DE,Germany,5,47698.24530750799
DE228,7503.47,193080.0,DE,Germany,5,38861.974311166356
DE229,3254.86,77503.0,DE,Germany,5,41996.567874791945
DE22A,5376.26,119864.0,DE,Germany,5,44853.00006674231
DE22B,3756.6,102914.0,DE,Germany,5,36502.32232738014
DE22C,7538.83,99509.0,DE,Germany,5,75760.28298947834
DE231,3323.28,42080.0,DE,Germany,5,78975.28517110266
DE232,16298.8,147509.0,DE,Germany,5,110493.59700086096
DE233,2921.6,42251.0,DE,Germany,5,69148.65920333247
DE234,3623.59,103621.0,DE,Germany,5,34969.64900937069
DE235,6366.07,127452.0,DE,Germany,5,49948.765025264416
DE236,6563.14,136901.0,DE,Germany,5,47940.774720418405
DE237,3999.21,95742.0,DE,Germany,5,41770.69624616156
DE238,6502.6,191651.0,DE,Germany,5,33929.38205383744
DE239,6923.33,147982.0,DE,Germany,5,46784.946817856224
DE23A,3789.89,72561.0,DE,Germany,5,52230.39925028597
DE241,5849.32,74405.0,DE,Germany,5,78614.60923325045
DE242,5769.51,72661.0,DE,Germany,5,79403.11859181679
DE243,4991.33,40618.0,DE,Germany,5,122884.68166822591
DE244,2440.21,46151.0,DE,Germany,5,52874.477259431
DE245,4651.06,147269.0,DE,Germany,5,31582.070904263626
DE246,2973.05,103106.0,DE,Germany,5,28834.888367311312
DE247,2882.29,84341.0,DE,Germany,5,34174.245029108024
DE248,4640.77,115457.0,DE,Germany,5,40194.79113436171
DE249,4229.45,92905.0,DE,Germany,5,45524.460470372964
DE24A,2731.32,65087.0,DE,Germany,5,41964.140304515495
DE24B,3296.68,71439.0,DE,Germany,5,46146.78256974482
DE24C,2777.3,67466.0,DE,Germany,5,41165.92061186375
DE24D,3295.8,70963.0,DE,Germany,5,46443.921480207995
DE251,3088.66,39596.0,DE,Germany,5,78004.3438731185
DE252,13609.85,113911.0,DE,Germany,5,119477.9257490497
DE253,6212.91,131060.0,DE,Germany,5,47405.08164199603
DE254,38630.2,523734.0,DE,Germany,5,73759.1983716925
DE255,1847.26,40812.0,DE,Germany,5,45262.667842791336
DE256,7075.18,186359.0,DE,Germany,5,37965.32499101197
DE257,6158.83,137981.0,DE,Germany,5,44635.348345062004
DE258,3225.08,117602.0,DE,Germany,5,27423.683270692676
DE259,6692.11,168856.0,DE,Germany,5,39632.05334723078
DE25A,3901.67,100568.0,DE,Germany,5,38796.3368069366
DE25B,4996.8,127472.0,DE,Germany,5,39199.19668633112
DE25C,3742.15,94468.0,DE,Germany,5,39612.88478638269
DE261,6160.69,72054.0,DE,Germany,5,85501.01312904211
DE262,6177.88,53539.0,DE,Germany,5,115390.27624722166
DE263,10079.43,131271.0,DE,Germany,5,76783.3718033686
DE264,7703.49,170651.0,DE,Germany,5,45141.780593140385
DE265,4256.27,103088.0,DE,Germany,5,41287.73475089244
DE266,4066.98,79216.0,DE,Germany,5,51340.38578065037
DE267,3305.44,83258.0,DE,Germany,5,39701.16985755123
DE268,4408.12,90576.0,DE,Germany,5,48667.63822646176
DE269,5698.57,126649.0,DE,Germany,5,44994.986142804126
DE26A,5843.74,125270.0,DE,Germany,5,46649.15781911072
DE26B,3232.52,114749.0,DE,Germany,5,28170.35442574663
DE26C,5729.66,160240.0,DE,Germany,5,35756.739890164754
DE271,16693.92,296706.0,DE,Germany,5,56264.18070413136
DE272,2059.55,45459.0,DE,Germany,5,45305.66004531556
DE273,4419.51,65229.0,DE,Germany,5,67753.75983075013
DE274,3182.82,43696.0,DE,Germany,5,72840.0768949103
DE275,4817.8,135133.0,DE,Germany,5,35652.283306076235
DE276,9646.0,259302.0,DE,Germany,5,37199.8673361563
DE277,4271.93,97430.0,DE,Germany,5,43846.14595093914
DE278,6629.05,128361.0,DE,Germany,5,51643.80146617742
DE279,7785.6,180320.0,DE,Germany,5,43176.57497781721
DE27A,3890.39,81874.0,DE,Germany,5,47516.79409824853
DE27B,6697.03,140153.0,DE,Germany,5,47783.70780504163
DE27C,7301.91,143384.0,DE,Germany,5,50925.556547452994
DE27D,7982.88,133770.0,DE,Germany,5,59676.160574119756
DE27E,6558.65,152664.0,DE,Germany,5,42961.339936068754
DE300,199564.58,3632853.0,DE,Germany,5,54933.29347485296
DE401,2951.7,73612.0,DE,Germany,5,40098.081834483506
DE402,4430.24,94250.0,DE,Germany,5,47005.19893899204
DE403,2629.5,56434.0,DE,Germany,5,46594.251692242266
DE404,9550.42,182987.0,DE,Germany,5,52191.79504554968
DE405,5224.85,191525.0,DE,Germany,5,27280.250620023497
DE406,8462.62,176373.0,DE,Germany,5,47981.38037001129
DE407,3261.1,99684.0,DE,Germany,5,32714.37743268729
DE408,4344.41,168494.0,DE,Germany,5,25783.766781012975
DE409,5423.56,196930.0,DE,Germany,5,27540.547402630375
DE40A,6777.06,216849.0,DE,Germany,5,31252.438332664664
DE40B,3822.18,109091.0,DE,Germany,5,35036.620802815996
DE40C,7475.44,179748.0,DE,Germany,5,41588.44604668758
DE40D,3321.97,99294.0,DE,Germany,5,33455.898644429675
DE40E,7256.7,219092.0,DE,Germany,5,33121.702298577766
DE40F,2744.35,76322.0,DE,Germany,5,35957.52207751369
DE40G,5690.36,111083.0,DE,Germany,5,51226.20022865785
DE40H,7646.78,175569.0,DE,Germany,5,43554.27210954098
DE40I,4571.58,117822.0,DE,Germany,5,38800.73330956867
DE501,35482.31,576947.0,DE,Germany,5,61500.120461671526
DE502,5079.02,118811.0,DE,Germany,5,42748.735386454115
DE600,155055.06,1832675.0,DE,Germany,5,84605.86847095093
DE711,15417.26,162329.0,DE,Germany,5,94975.38948678301
DE712,90525.28,747389.0,DE,Germany,5,121122.03952693978
DE713,6643.28,130542.0,DE,Germany,5,50889.981768319776
DE714,21087.15,284787.0,DE,Germany,5,74045.3391482055
DE715,9761.61,273288.0,DE,Germany,5,35719.13146570651
DE716,10140.63,300928.0,DE,Germany,5,33697.861282433005
DE717,14911.03,266326.0,DE,Germany,5,55987.8870256753
DE718,17429.85,238534.0,DE,Germany,5,73070.71528587119
DE719,16838.76,415753.0,DE,Germany,5,40501.83642691694
DE71A,17330.0,237671.0,DE,Germany,5,72915.92158908743
DE71B,3041.15,94619.0,DE,Germany,5,32141.00762003403
DE71C,17187.67,353948.0,DE,Germany,5,48559.87320171324
DE71D,5485.52,185684.0,DE,Germany,5,29542.233041080544
DE71E,11307.48,309348.0,DE,Germany,5,36552.6203498972
DE721,12187.48,266314.0,DE,Germany,5,45763.572324399014
DE722,10951.01,253208.0,DE,Germany,5,43249.067959938075
DE723,6451.03,173484.0,DE,Germany,5,37185.1582854903
